index,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,hour,hourly_demand,date,temperature_2m,precipitation,rain,snowfall,day_of_week,month,is_weekend,lag_demand_1,lag_demand_3,lag_demand_6,lag_demand_2,rolling_mean_3
41220,2023-09-01 06:00:00,2023-09-01 06:24:00,1.0,13.9,136,65,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,9.0,9.0,9.0,9.0,10.666666666666666
41223,2023-09-01 06:04:00,2023-09-01 06:27:00,1.0,9.2,254,262,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,9.0,9.0,9.0,12.333333333333334
41228,2023-09-01 06:10:00,2023-09-01 06:43:00,1.0,9.0,51,169,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,9.0,9.0,14.0,14.0
41231,2023-09-01 06:12:00,2023-09-01 06:37:00,1.0,3.8,235,41,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,9.0,14.0,14.0
41221,2023-09-01 06:15:00,2023-09-01 06:55:00,1.0,0.0,47,134,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,9.0,14.0,14.0
41222,2023-09-01 06:23:00,2023-09-01 07:04:00,1.0,0.0,247,25,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,9.0,14.0,14.0
41226,2023-09-01 06:26:00,2023-09-01 06:45:00,1.0,7.5,185,168,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41224,2023-09-01 06:30:00,2023-09-01 07:12:00,1.0,12.3,81,237,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41229,2023-09-01 06:36:00,2023-09-01 07:08:00,1.0,1.6,159,119,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41230,2023-09-01 06:52:00,2023-09-01 07:13:00,1.0,1.4,167,78,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41227,2023-09-01 06:52:00,2023-09-01 07:16:00,1.0,2.0,212,167,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41233,2023-09-01 06:58:00,2023-09-01 06:59:00,1.0,0.09,235,235,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
41225,2023-09-01 06:58:00,2023-09-01 07:15:00,1.0,0.0,159,74,6,14,2023-09-01 06:00:00,15.893499,0.0,0.0,0.0,4,9,0,14.0,14.0,14.0,14.0,14.0
